babysit,no.babysit,total.day,age,sex.m,dominant,groupsize,focal.id,group.id,season.id,focal.by.season
16,39,55,21,0,0,5.5862,35,9,1997_1998,35_1997_1998
2,53,55,21,0,0,5.5862,36,9,1997_1998,36_1997_1998
29,26,55,21,0,0,5.5862,37,9,1997_1998,37_1997_1998
3,52,55,45,0,1,5.5862,258,9,1997_1998,258_1997_1998
0,43,43,42,0,1,11.5385,37,9,1999_2000,37_1999_2000
13,30,43,20,0,0,11.5385,659,9,1999_2000,659_1999_2000
4,39,43,15,0,0,11.5385,661,9,1999_2000,661_1999_2000
7,36,43,15,0,0,11.5385,662,9,1999_2000,662_1999_2000
2,41,43,6,0,0,11.5385,664,9,1999_2000,664_1999_2000
10,33,43,15,1,0,11.5385,722,9,1999_2000,722_1999_2000
12,31,43,15,1,0,11.5385,723,9,1999_2000,723_1999_2000
18,25,43,6,1,0,11.5385,730,9,1999_2000,730_1999_2000
3,40,43,6,1,0,11.5385,731,9,1999_2000,731_1999_2000
1,40,41,45,0,1,8.44,37,9,1999_2000,37_1999_2000
14,27,41,9,0,0,8.44,664,9,1999_2000,664_1999_2000
10,31,41,18,1,0,8.44,722,9,1999_2000,722_1999_2000
16,25,41,9,1,0,8.44,730,9,1999_2000,730_1999_2000
16,25,41,9,1,0,8.44,731,9,1999_2000,731_1999_2000
0,31,31,47,0,1,12.9286,37,9,1999_2000,37_1999_2000
13,18,31,12,0,0,12.9286,664,9,1999_2000,664_1999_2000
0,31,31,5,0,0,12.9286,665,9,1999_2000,665_1999_2000
1,30,31,5,0,0,12.9286,666,9,1999_2000,666_1999_2000
8,23,31,21,1,0,12.9286,722,9,1999_2000,722_1999_2000
10,21,31,12,1,0,12.9286,730,9,1999_2000,730_1999_2000
15,16,31,12,1,0,12.9286,731,9,1999_2000,731_1999_2000
3,28,31,5,1,0,12.9286,732,9,1999_2000,732_1999_2000
1,48,49,50,0,1,17.9091,37,9,1999_2000,37_1999_2000
18,31,49,14,0,0,17.9091,664,9,1999_2000,664_1999_2000
2,47,49,7,0,0,17.9091,665,9,1999_2000,665_1999_2000
10,39,49,7,0,0,17.9091,666,9,1999_2000,666_1999_2000
3,46,49,5,0,0,17.9091,667,9,1999_2000,667_1999_2000
0,49,49,5,0,0,17.9091,668,9,1999_2000,668_1999_2000
3,46,49,5,0,0,17.9091,669,9,1999_2000,669_1999_2000
1,48,49,5,0,0,17.9091,670,9,1999_2000,670_1999_2000
3,46,49,23,1,0,17.9091,722,9,1999_2000,722_1999_2000
9,40,49,14,1,0,17.9091,730,9,1999_2000,730_1999_2000
15,34,49,14,1,0,17.9091,731,9,1999_2000,731_1999_2000
5,44,49,7,1,0,17.9091,732,9,1999_2000,732_1999_2000
8,41,49,5,1,0,17.9091,733,9,1999_2000,733_1999_2000
4,45,49,5,1,0,17.9091,734,9,1999_2000,734_1999_2000
0,59,59,56,0,1,18.7778,37,9,2000_2001,37_2000_2001
20,39,59,20,0,0,18.7778,664,9,2000_2001,664_2000_2001
3,56,59,13,0,0,18.7778,665,9,2000_2001,665_2000_2001
15,44,59,13,0,0,18.7778,666,9,2000_2001,666_2000_2001
10,49,59,10,0,0,18.7778,667,9,2000_2001,667_2000_2001
12,47,59,10,0,0,18.7778,668,9,2000_2001,668_2000_2001
4,55,59,8,0,0,18.7778,671,9,2000_2001,671_2000_2001
14,45,59,8,0,0,18.7778,672,9,2000_2001,672_2000_2001
4,55,59,8,0,0,18.7778,673,9,2000_2001,673_2000_2001
6,53,59,5,0,0,18.7778,674,9,2000_2001,674_2000_2001
0,59,59,5,0,0,18.7778,675,9,2000_2001,675_2000_2001
0,59,59,29,1,1,18.7778,722,9,2000_2001,722_2000_2001
4,55,59,20,1,0,18.7778,730,9,2000_2001,730_2000_2001
6,53,59,20,1,0,18.7778,731,9,2000_2001,731_2000_2001
6,53,59,13,1,0,18.7778,732,9,2000_2001,732_2000_2001
14,45,59,10,1,0,18.7778,733,9,2000_2001,733_2000_2001
7,52,59,10,1,0,18.7778,734,9,2000_2001,734_2000_2001
9,50,59,8,1,0,18.7778,736,9,2000_2001,736_2000_2001
0,59,59,5,1,0,18.7778,737,9,2000_2001,737_2000_2001
4,55,59,5,1,0,18.7778,738,9,2000_2001,738_2000_2001
5,54,59,5,1,0,18.7778,739,9,2000_2001,739_2000_2001
2,53,55,58,0,1,23.5769,37,9,2000_2001,37_2000_2001
6,49,55,23,0,0,23.5769,664,9,2000_2001,664_2000_2001
8,47,55,16,0,0,23.5769,665,9,2000_2001,665_2000_2001
7,48,55,16,0,0,23.5769,666,9,2000_2001,666_2000_2001
14,41,55,13,0,0,23.5769,667,9,2000_2001,667_2000_2001
10,45,55,13,0,0,23.5769,668,9,2000_2001,668_2000_2001
12,43,55,10,0,0,23.5769,671,9,2000_2001,671_2000_2001
7,48,55,10,0,0,23.5769,672,9,2000_2001,672_2000_2001
4,51,55,10,0,0,23.5769,673,9,2000_2001,673_2000_2001
2,53,55,8,0,0,23.5769,674,9,2000_2001,674_2000_2001
0,55,55,8,0,0,23.5769,675,9,2000_2001,675_2000_2001
1,54,55,32,1,1,23.5769,722,9,2000_2001,722_2000_2001
10,45,55,23,1,0,23.5769,730,9,2000_2001,730_2000_2001
4,51,55,23,1,0,23.5769,731,9,2000_2001,731_2000_2001
5,50,55,16,1,0,23.5769,732,9,2000_2001,732_2000_2001
8,47,55,13,1,0,23.5769,733,9,2000_2001,733_2000_2001
6,49,55,13,1,0,23.5769,734,9,2000_2001,734_2000_2001
4,51,55,10,1,0,23.5769,736,9,2000_2001,736_2000_2001
7,48,55,8,1,0,23.5769,737,9,2000_2001,737_2000_2001
2,53,55,8,1,0,23.5769,738,9,2000_2001,738_2000_2001
