feed.count,offset.min.cent,age,sex.m,dominant,groupsize,focal.id,group.id,season.id,focal.by.season
13,1.507773241,43,0,1,10.21,37,9,1999_2000,37_1999_2000
44,1.200039127,21,0,0,10.21,659,9,1999_2000,659_1999_2000
114,1.200039127,16,0,0,10.21,661,9,1999_2000,661_1999_2000
102,1.200039127,16,0,0,10.21,662,9,1999_2000,662_1999_2000
86,1.507773241,7,0,0,10.21,664,9,1999_2000,664_1999_2000
135,1.507773241,16,1,0,10.21,722,9,1999_2000,722_1999_2000
67,1.30631731,16,1,0,10.21,723,9,1999_2000,723_1999_2000
54,1.507773241,7,1,0,10.21,730,9,1999_2000,730_1999_2000
111,1.507773241,7,1,0,10.21,731,9,1999_2000,731_1999_2000
48,0.115464497,46,0,1,5.83,37,9,1999_2000,37_1999_2000
68,0.086584577,10,0,0,5.83,664,9,1999_2000,664_1999_2000
89,0.086584577,19,1,0,5.83,722,9,1999_2000,722_1999_2000
45,0.086584577,10,1,0,5.83,730,9,1999_2000,730_1999_2000
77,0.086584577,10,1,0,5.83,731,9,1999_2000,731_1999_2000
8,-1.861850584,48,0,1,8.45,37,9,1999_2000,37_1999_2000
7,-1.861850584,13,0,0,8.45,664,9,1999_2000,664_1999_2000
0,-1.861850584,6,0,0,8.45,665,9,1999_2000,665_1999_2000
6,-1.861850584,6,0,0,8.45,666,9,1999_2000,666_1999_2000
8,-1.861850584,22,1,0,8.45,722,9,1999_2000,722_1999_2000
7,-1.861850584,13,1,0,8.45,730,9,1999_2000,730_1999_2000
6,-1.861850584,13,1,0,8.45,731,9,1999_2000,731_1999_2000
7,-1.861850584,6,1,0,8.45,732,9,1999_2000,732_1999_2000
38,-0.128181167,51,0,1,14.46,37,9,1999_2000,37_1999_2000
12,-4.884140534,18,1,0,14.46,471,9,1999_2000,471_1999_2000
26,-0.128181167,15,0,0,14.46,664,9,1999_2000,664_1999_2000
25,-0.128181167,8,0,0,14.46,665,9,1999_2000,665_1999_2000
15,-0.128181167,8,0,0,14.46,666,9,1999_2000,666_1999_2000
22,-0.128181167,6,0,0,14.46,667,9,1999_2000,667_1999_2000
21,-0.128181167,6,0,0,14.46,668,9,1999_2000,668_1999_2000
10,-0.128181167,6,0,0,14.46,669,9,1999_2000,669_1999_2000
37,-0.128181167,6,0,0,14.46,670,9,1999_2000,670_1999_2000
36,-0.128181167,24,1,1,14.46,722,9,1999_2000,722_1999_2000
20,-0.156116629,15,1,0,14.46,730,9,1999_2000,730_1999_2000
19,-0.128181167,15,1,0,14.46,731,9,1999_2000,731_1999_2000
21,-0.128181167,8,1,0,14.46,732,9,1999_2000,732_1999_2000
17,-0.128181167,6,1,0,14.46,733,9,1999_2000,733_1999_2000
18,-0.128181167,6,1,0,14.46,734,9,1999_2000,734_1999_2000
4,0.035680417,57,0,1,19.7,37,9,2000_2001,37_2000_2001
3,-0.479951988,21,0,0,19.7,664,9,2000_2001,664_2000_2001
9,-0.479951988,14,0,0,19.7,665,9,2000_2001,665_2000_2001
9,0.035680417,14,0,0,19.7,666,9,2000_2001,666_2000_2001
13,0.072224101,12,0,0,19.7,667,9,2000_2001,667_2000_2001
