guard.min,offset.min.cent,age,sex.m,dominant,groupsize,focal.id,group.id,season.id,focal.by.season
14,-0.013004766,6,0,0,5.52,1,39,1999_2000,1_1999_2000
0,-3.074513961,9,0,0,4.69,1,39,1999_2000,1_1999_2000
0,1.160238081,6,1,0,8.76,7,39,1998_1999,7_1998_1999
322,1.131316884,6,1,0,8.76,8,39,1998_1999,8_1998_1999
32,0.017976536,6,1,0,5.52,9,39,1999_2000,9_1999_2000
0,-3.020523943,9,1,0,4.87,9,39,1999_2000,9_1999_2000
0,-0.253906603,6,0,0,4.04,26,38,2002_2003,26_2002_2003
23,0.167155176,9,0,0,3.26,26,38,2002_2003,26_2002_2003
39,-1.610746462,24,0,0,6,35,9,1997_1998,35_1997_1998
683,1.102003282,27,0,0,9.93,35,9,1997_1998,35_1997_1998
21,0.105735304,30,0,0,10.81,35,9,1998_1999,35_1998_1999
0,-1.227491905,33,0,0,8.24,35,9,1998_1999,35_1998_1999
0,-1.144669256,36,0,0,13.17,35,9,1998_1999,35_1998_1999
0,0.287326512,39,0,0,15.67,35,9,1998_1999,35_1998_1999
0,-2.013669995,42,0,0,4.43,35,14,1999_2000,35_1999_2000
0,-2.593276958,45,0,0,2.8,35,14,1999_2000,35_1999_2000
77,-1.610746462,24,0,0,6,36,9,1997_1998,36_1997_1998
134,1.125453129,27,0,0,9.93,36,9,1997_1998,36_1997_1998
54,0.105735304,30,0,0,10.81,36,9,1998_1999,36_1998_1999
9,-1.174168228,33,0,0,8.24,36,9,1998_1999,36_1998_1999
0,-1.144669256,36,0,0,13.17,36,9,1998_1999,36_1998_1999
0,0.097501527,39,0,0,15.67,36,9,1998_1999,36_1998_1999
0,-4.161616675,42,0,0,4.43,36,14,1999_2000,36_1999_2000
37,-1.610746462,24,0,0,6,37,9,1997_1998,37_1997_1998
591,1.125453129,27,0,0,9.93,37,9,1997_1998,37_1997_1998
145,0.105735304,30,0,0,10.81,37,9,1998_1999,37_1998_1999
13,-1.185826815,33,0,0,8.24,37,9,1998_1999,37_1998_1999
0,-0.422076812,36,0,1,13.17,37,9,1998_1999,37_1998_1999
0,0.524795672,39,0,1,15.67,37,9,1998_1999,37_1998_1999
5,1.357621279,42,0,1,12.23,37,9,1999_2000,37_1999_2000
96,0.125641397,45,0,1,11.88,37,9,1999_2000,37_1999_2000
11,-0.724697895,48,0,1,16.9,37,9,1999_2000,37_1999_2000
108,-0.423917092,51,0,1,23.57,37,9,1999_2000,37_1999_2000
